,City,Country,Lat,Lng,Hotel Name
0,punta arenas,,8.99,125.34,
1,pevek,,69.7,170.31,Munitsipal'naya Gostinitsa
2,rengo,,-34.42,-70.87,
3,myitkyina,,25.38,97.4,Palm Spring Resort Hotel Myitkyina
4,yellowknife,,62.46,-114.35,The Explorer Hotel
5,kargasok,,59.06,80.86,Gostinitsa Grenada
6,hilo,,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
7,bolobo,,-2.17,16.23,
8,santa isabel,,17.49,120.43,
9,hermanus,,-34.42,19.23,7 on Marine
10,balikpapan,,-1.27,116.83,Novotel Balikpapan
11,bethel,,41.37,-73.41,Hampton Inn Danbury
12,adrar,,20.5,-10.07,
13,kaitangata,,-46.28,169.85,
14,dikson,,73.51,80.55,
15,east london,,65.0,-15.0,Hengifoss Guesthouse
16,linxia,,35.6,103.21,Linxia Hotel
17,belmonte,,-15.86,-38.88,Pousada Rio
18,albany,,42.6,-73.97,
19,camopi,,3.17,-52.32,
20,ribeira grande,,42.75,-8.44,Hotel Restaurante América
21,rikitea,,-23.12,-134.97,Pension Maro'i
22,aregua,,-25.31,-57.38,Hostel América Latina
23,cam ranh,,-38.98,-67.82,San Pier Hotel
24,provideniya,,64.38,-173.3,
25,arraial do cabo,,-22.84,-46.65,
26,ust-nera,,64.57,143.2,Gostevoy Dom
27,mataura,,-46.19,168.86,Ellie's Villa
28,narsaq,,60.92,-46.05,Hotel Narsaq
29,tabou,,4.42,-7.35,Hotel Les Rochers
30,klaksvik,,62.23,-6.59,Hotel Klaksvík
31,nikolskoye,,59.7,30.79,Tourist House - Sablino
32,bathsheba,,13.22,-59.52,Rest Haven Beach Cottages
33,devrek,,41.22,31.96,Devrek Otel
34,oistins,,13.07,-59.53,Infinity On The Beach Hotel
35,jamestown,,42.1,-79.24,Chautauqua Harbor Hotel
36,new norfolk,,6.65,-10.59,
37,bornheim,,50.77,7.0,Alanus Gaestehaus
38,cherskiy,,68.75,161.3,
39,roebourne,,-20.78,117.13,Latitude20 Roebourne Village
40,kapaa,,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
41,kavaratti,,10.57,72.64,Bismillah Hotel And Lodging
42,chokurdakh,,70.63,147.92,
43,avarua,,-21.21,-159.78,The Edgewater Resort and Spa
44,vanavara,,60.34,102.28,
45,mar del plata,,43.4,-4.01,Hotel Playa de Los Locos
46,manali,,13.17,80.27,
47,saskylakh,,71.92,114.08,
48,tuatapere,,-46.13,167.68,Waiau Hotel
49,liberty,,31.83,-81.5,
50,cape town,,-36.41,-71.9,Hotel Molino Viejo
51,qasigiannguit,,68.82,-51.19,
52,dzhebariki-khaya,,62.22,135.8,
53,butaritari,,3.07,172.79,
54,geraldton,,-28.77,114.6,Ocean Centre Hotel
55,portland,,45.52,-122.68,Ace Hotel Portland
56,chapais,,49.78,-74.85,Hôtel Opémiska
57,lebu,,-37.62,-73.65,Hotel Plaza Lebu
58,tasiilaq,,65.61,-37.64,Hotel Angmagssalik
59,fairbanks,,64.84,-147.72,Hampton Inn & Suites Fairbanks
60,atuona,,-9.8,-139.03,Simplicité Marquises
61,vaini,,-21.2,-175.2,Paradise First Hotel
62,qaanaaq,,77.48,-69.36,Qaanaaq Hotel
63,faanui,,-16.48,-151.75,Oa Oa Lodge
64,lagoa,,39.05,-27.98,Hotel Ilha Graciosa
65,lichinga,,-13.31,35.24,Girassol Lichinga
66,ushuaia,,-54.8,-68.3,Los Cauquenes Resort & Spa
67,poronaysk,,49.22,143.12,Gostinitsa Sever
68,soskovo,,52.75,35.38,
69,guerrero negro,,17.67,-100.0,
70,clyde,,41.3,-82.98,Red Roof Inn Clyde
71,busselton,,-33.65,115.33,Broadwater Resort
72,gizo,,-8.1,156.84,Imagination Island
73,yatou,,37.15,122.38,Rongcheng Jiaotong Hotel
74,port alfred,,-7.03,29.76,
75,longyearbyen,,78.22,15.64,Mary-Ann's Polarrigg
76,sinnamary,,5.38,-52.95,L'oiseau de Paradis
77,torbay,,47.67,-52.73,
78,upernavik,,72.79,-56.15,Café de Upernavik
79,hasaki,,35.73,140.83,Inubosaki Kanko Hotel
80,bluff,,-46.6,168.33,Foveaux Hotel
81,kimberley,,-28.73,24.76,Vetra Amour Guesthouse
82,cidreira,,-30.18,-50.21,Pond Country Club
83,faya,,18.39,42.45,
84,edgewater,,28.99,-80.9,Sea Vista Resort
85,springbok,,-29.66,17.89,Springbok Inn by Country Hotels
86,hithadhoo,,-0.6,73.08,Pebbles Inn
87,castro-urdiales,,43.38,-3.22,Sercotel Hotel Las Rocas Playa
88,tshikapa,,-6.42,20.8,Hotel Paradis
89,kalmunai,,7.42,81.82,LUXEZ garden house
90,athabasca,,54.72,-113.29,Days Inn by Wyndham Athabasca
91,georgetown,,5.41,100.34,"Eastern & Oriental Hotel, Penang"
92,burnie,,-41.07,145.92,Ikon Hotel
93,chicama,,-7.84,-79.15,Balihai Bungalows
94,pyapon,,16.28,95.68,Aung Naing Thu Motel
95,itaueira,,-7.6,-43.03,Hotel Pousada Luz
96,grand-lahou,,5.14,-5.02,Hotel Beatitude de Grand Lahou
97,giaveno,,45.05,7.35,Hotel Caprice
98,lompoc,,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
99,kuybyshevo,,47.81,38.91,Мини-отель Искра
100,port elizabeth,,-7.03,29.76,
101,emerald,,-23.53,148.17,Route 66 Motor Inn
102,pangnirtung,,66.15,-65.71,Auyuittuq Lodge (Inns North)
103,barrow,,71.29,-156.79,Top of the World Hotel
104,saint-philippe,,-21.36,55.77,Pinpin d'Amour
105,egvekinot,,66.32,-179.17,
106,hobart,,-42.88,147.33,Hotel Grand Chancellor Hobart
107,tenenkou,,14.46,-4.92,
108,puerto ayora,,36.59,-6.23,Duques de Medinaceli
109,waterloo,,43.47,-80.52,Crowne Plaza Kitchener-Waterloo
110,tuktoyaktuk,,69.45,-133.04,Hunter's B&B
111,cabo san lucas,,-8.28,-35.03,Hotel Intercity Suape Costa Dourada
112,xihua,,33.78,114.52,Yijun Hotel
