,City,Cloudiness,County,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kamenka,88,RU,1586961939,75,51.32,42.77,41.0,10.0
1,kavaratti,7,IN,1586961940,70,10.57,72.64,85.24,7.02
2,hermanus,100,ZA,1586961941,77,-34.42,19.23,66.0,5.86
3,mareeba,75,AU,1586961941,83,-17.0,145.43,77.0,10.29
4,busselton,32,AU,1586961941,55,-33.65,115.33,55.0,6.91
5,richards bay,40,US,1586961942,79,46.84,-95.91,28.99,9.17
6,sao joao da barra,60,IN,1586961942,10,20.51,76.21,94.01,3.51
7,ushuaia,40,AR,1586961942,81,-54.8,-68.3,44.6,5.55
8,yellowknife,40,CA,1586961593,84,62.46,-114.35,19.99,3.36
9,hasaki,75,JP,1586961942,87,35.73,140.83,50.0,2.24
10,qaanaaq,94,GL,1586961942,89,77.48,-69.36,12.22,1.32
11,tarakan,84,ID,1586961943,71,3.3,117.63,81.84,8.97
12,lewistown,40,US,1586961943,44,40.6,-77.57,44.01,6.93
13,mataura,69,NZ,1586961943,90,-46.19,168.86,50.0,11.99
14,jamestown,75,US,1586961913,61,42.1,-79.24,36.0,12.75
15,cukai,7,MY,1586961659,94,4.25,103.42,80.6,6.76
16,new norfolk,75,LR,1586961910,66,6.65,-10.59,89.6,6.93
17,portland,90,US,1586961845,87,45.52,-122.68,50.0,6.93
18,aljezur,13,PT,1586961945,70,37.32,-8.8,64.0,16.4
19,bandarbeyla,8,SO,1586961945,69,9.49,50.81,83.84,12.59
20,pozo colorado,20,CU,1586961946,70,22.45,-80.18,86.0,4.7
21,srandakan,4,ID,1586961949,76,-7.94,110.25,80.49,3.31
22,banjar,20,ID,1586961949,100,-8.19,114.97,82.4,6.93
23,yaan,58,NG,1586961949,34,7.38,8.57,97.92,3.8
24,upernavik,0,GL,1586961593,87,72.79,-56.15,20.39,5.46
25,rikitea,43,PF,1586961950,67,-23.12,-134.97,75.36,1.21
26,alice springs,1,US,1586961951,62,27.75,-98.07,59.0,19.46
27,mys shmidta,99,RU,1586961951,83,62.06,48.62,40.93,11.9
28,troy,90,US,1586961952,64,42.61,-83.15,36.0,6.93
29,otradnoye,75,RU,1586961952,65,59.78,30.82,41.0,8.95
30,thompson,5,CA,1586961726,60,55.74,-97.86,10.4,9.17
31,rawson,53,AR,1586961953,30,-43.3,-65.1,69.51,19.33
32,priekule,13,LV,1586961953,71,56.45,21.59,50.0,11.41
